"incident_num","date_time","day_of_week","address_number_primary","address_dir_primary","address_road_primary","address_sfx_primary","address_dir_intersecting","address_road_intersecting","address_sfx_intersecting","call_type","disposition","beat","priority"
"E23010000053","2023-01-01 00:29:15","1","2500","","L","ST","","","","CCCC","W","515","4"
"E23010000054","2023-01-01 00:29:57","1","2500","","EAST MISSION BAY","DR","","","","1087","K","123","2"
"E23010000055","2023-01-01 00:31:29","1","800","","GARNET","AVE","","","","FD","K","122","2"
"E23010000057","2023-01-01 00:33:36","1","800","","05TH","AVE","","","","11-8","CAN","523","0"
"E23010000058","2023-01-01 00:34:16","1","4000","","DWIGHT","ST","","","","AU1","DUP","834","1"
"E23010000059","2023-01-01 00:34:35","1","500","","F","ST","","","","415V","W","523","0"
"E23010000060","2023-01-01 00:35:57","1","400","S","VALENCIA","PKY","","","","5150V","K","432","1"
"E23010000061","2023-01-01 00:36:46","1","700","W","WASHINGTON","ST","","","","NONU","K","627","1"
"E23010000062","2023-01-01 00:36:56","1","0","","PARK","BLV","","ISLAND","","23152","DUP","521","2"
"E23010000063","2023-01-01 00:37:17","1","5400","","BAJA","DR","","","","AU1","K","326","1"
"E23010000064","2023-01-01 00:37:23","1","800","","GARNET","AVE","","","","1016","A","122","2"
"E23010000065","2023-01-01 00:37:45","1","0","","ISLAND","AVE","","PARK","","415V","A","521","1"
"E23010000066","2023-01-01 00:38:13","1","0","","STATE ROUTE 163 NB","","","MESA COLLEGE","","1183","K","621","0"
"E23010000067","2023-01-01 00:38:29","1","1100","","27TH (SB)","ST","","","","HZRD","K","723","1"
"E23010000068","2023-01-01 00:39:28","1","7200","","SKYLINE","DR","","","","HZRD","W","437","1"
"E23010000069","2023-01-01 00:39:52","1","7100","","EL CAJON","BLV","","","","1130","K","821","1"
"E23010000070","2023-01-01 00:39:52","1","1000","","UNIVERSITY","AVE","","","","AU1","W","627","1"
"E23010000071","2023-01-01 00:41:15","1","800","","GARNET","AVE","","","","1016","A","122","2"
"E23010000072","2023-01-01 00:41:32","1","4300","","OCEAN","BLV","","","","1016","A","122","2"
"E23010000074","2023-01-01 00:42:19","1","9200","","AERO","DR","","","","HZRD","W","311","1"
"E23010000075","2023-01-01 00:42:28","1","5200","","GAINES","ST","","","","HZRD","W","622","1"
"E23010000076","2023-01-01 00:43:30","1","2100","","CAMINITO SAN MARTIN","","","","","415","K","124","2"
"E23010000077","2023-01-01 00:43:32","1","13300","","SALMON RIVER","RD","","","","HZRD","K","233","1"
"E23010000078","2023-01-01 00:44:23","1","3800","","NATIONAL","AVE","","","","5150","K","442","2"
"E23010000079","2023-01-01 00:44:26","1","900","","05TH","AVE","","","","5150","K","523","2"
"E23010000081","2023-01-01 00:44:37","1","800","","RUSHVILLE","ST","","","","459A","U","124","2"
"E23010000082","2023-01-01 00:45:02","1","3700","","46TH","ST","","","","415N","K","833","3"
"E23010000083","2023-01-01 00:45:05","1","400","","H","ST","","","","242R","CAN","523","2"
"E23010000084","2023-01-01 00:45:14","1","4200","","EASTGATE","MAL","","","","INFO","K","115","2"
"E23010000085","2023-01-01 00:45:22","1","1700","","HERMES","ST","","","","1183","R","721","0"
"E23010000086","2023-01-01 00:46:30","1","0","","BLACK MOUNTAIN","RD","","STATE ROUTE 56 EB","","1183","A","233","0"
"E23010000087","2023-01-01 00:47:08","1","0","","ISLAND","AVE","","11TH","","415V","CAN","521","1"
"E23010000088","2023-01-01 00:47:29","1","500","","F","ST","","","","415V","CAN","523","1"
"E23010000089","2023-01-01 00:48:06","1","500","","F","ST","","","","415V","A","523","1"
"E23010000090","2023-01-01 00:48:29","1","12800","","BLACK MOUNTAIN","RD","","","","1188","K","233","2"
"E23010000091","2023-01-01 00:48:42","1","900","","05TH","AVE","","","","1140OD","CAN","523","0"
"E23010000092","2023-01-01 00:48:43","1","1100","","BITTERN","ST","","","","AU1","DUP","433","1"
"E23010000093","2023-01-01 00:48:49","1","3900","","MASON","ST","","","","1183","K","625","0"
"E23010000094","2023-01-01 00:52:13","1","4400","","TWAIN","AVE","","","","415","K","321","2"
"E23010000095","2023-01-01 00:53:48","1","16500","","NEWCOMB","ST","","","","459A","K","937","2"
"E23010000096","2023-01-01 00:53:51","1","9300","","HILLERY","DR","","","","459A","U","242","3"
"E23010000098","2023-01-01 00:54:21","1","0","","06TH","AVE","","ISLAND","","1016","A","523","2"
"E23010000099","2023-01-01 00:54:26","1","0","","TAYLOR","ST","","HOTEL CIRCLE NORTH","","CW","W","623","1"
"E23010000100","2023-01-01 00:54:37","1","700","","05TH","AVE","","","","11-8","CAN","523","0"
"E23010000101","2023-01-01 00:55:23","1","0","","44TH","ST","","K","","HZRD","W","441","1"
"E23010000102","2023-01-01 00:56:01","1","400","S","VALENCIA","PKY","","","","415N","K","432","3"
"E23010000103","2023-01-01 00:56:29","1","12800","","RANCHO PENASQUITOS","BLV","","","","1087","CAN","233","2"
"E23010000104","2023-01-01 00:57:23","1","4300","","CONVOY","ST","","","","CW","K","313","1"
"E23010000105","2023-01-01 00:57:28","1","500","","F","ST","","","","415","CAN","523","2"
"E23010000106","2023-01-01 00:57:31","1","3600","","FOREST GLEN","RD","","","","5150","K","723","2"
"E23010000107","2023-01-01 00:57:57","1","0","","MADERA","ST","","BITTERN","","AU1","DUP","433","1"
"E23010000108","2023-01-01 00:58:01","1","5000","","PIROTTE","DR","","","","415V","A","451","0"
"E23010000109","2023-01-01 00:58:12","1","0","","CLAIREMONT","DR","","EAST MISSION BAY","","23152","K","123","2"
"E23010000110","2023-01-01 00:58:23","1","5200","","KEARNY VILLA","RD","","","","459A","K","313","3"
"E23010000111","2023-01-01 00:59:37","1","5500","","OCEAN GATE","LN","","","","415V","K","725","1"
"E23010000112","2023-01-01 01:00:07","1","4400","","BALBOA","AVE","","","","1183","K","112","0"
"E23010000113","2023-01-01 01:00:10","1","1000","","GARNET","AVE","","","","211R","K","122","2"
"E23010000115","2023-01-01 01:04:57","1","800","","06TH","AVE","","","","FD","K","523","2"
"E23010000116","2023-01-01 01:07:04","1","500","","F","ST","","","","FD","CAN","523","2"
"E23010000117","2023-01-01 01:09:25","1","700","W","WASHINGTON","ST","","","","1130","K","627","1"
"E23010000118","2023-01-01 01:09:37","1","1200","","GARNET","AVE","","","","FD","CAN","122","2"
"E23010000119","2023-01-01 01:09:42","1","1400","","BROADWAY","","","","","AU1","W","521","1"
"E23010000120","2023-01-01 01:13:17","1","6600","","POTOMAC","ST","","","","AU1","DUP","438","1"
"E23010000121","2023-01-01 01:13:36","1","3100","","C","ST","","","","AU2","W","517","2"
"E23010000122","2023-01-01 01:14:01","1","400","","09TH","AVE","","","","415","W","521","2"
"E23010000123","2023-01-01 01:14:27","1","0","","TURQUOISE","ST","","MISSION","","1183","A","122","0"
"E23010000124","2023-01-01 01:15:25","1","600","S","45TH","ST","","","","AU1","DUP","441","1"
"E23010000125","2023-01-01 01:18:14","1","0","","VILLA LA JOLLA","DR","","VILLA NORTE","","HZRD","K","124","1"
"E23010000126","2023-01-01 01:22:15","1","0","","TURQUOISE","ST","","FOOTHILL","","HZRD","O","122","1"
"E23010000127","2023-01-01 01:22:56","1","0","","04TH","AVE","","MARKET","","FD","K","523","2"
"E23010000128","2023-01-01 01:24:46","1","5200","","LAUREL","ST","","","","459A","K","451","2"
"E23010000129","2023-01-01 01:25:08","1","700","","05TH","AVE","","","","242","CAN","523","1"
"E23010000130","2023-01-01 01:27:25","1","0","","04TH","AVE","","MARKET","","FD","CAN","523","2"
"E23010000131","2023-01-01 01:27:26","1","4900","","NARRAGANSETT","AVE","","","","415","K","614","2"
"E23010000132","2023-01-01 01:28:02","1","800","","06TH","AVE","","","","1016","CAN","523","2"
"E23010000133","2023-01-01 01:28:21","1","800","","GARNET","AVE","","","","FD","A","122","2"
"E23010000134","2023-01-01 01:28:33","1","1400","","ISLAND","AVE","","","","1087","K","521","2"
"E23010000135","2023-01-01 01:28:56","1","700","","05TH","AVE","","","","11-8","CAN","523","0"
"E23010000136","2023-01-01 01:31:04","1","4400","","POLK","AVE","","","","415V","A","831","0"
"E23010000137","2023-01-01 01:31:32","1","7700","","WESTSIDE","DR","","","","415V","K","311","1"
"E23010000138","2023-01-01 01:32:44","1","0","","06TH","AVE","","F","","COVER","CAN","523","0"
"E23010000139","2023-01-01 01:33:09","1","1000","","UNIVERSITY","AVE","","","","415V","CAN","627","1"
"E23010000140","2023-01-01 01:34:12","1","0","","05TH","AVE","","E","","1147","K","523","0"
"E23010000141","2023-01-01 01:36:30","1","18600","","WEST BERNARDO","DR","","","","911","CAN","234","1"
"E23010000142","2023-01-01 01:36:52","1","0","NB","5","","","I-8 EB","","AU2","W","611","2"
"E23010000143","2023-01-01 01:37:04","1","1600","","INDIA","ST","","","","415V","CAN","528","1"
"E23010000145","2023-01-01 01:38:23","1","5400","","RESERVOIR","DR","","","","415V","K","327","1"
"E23010000146","2023-01-01 01:40:38","1","4800","","HART","DR","","","","459A","K","825","3"
"E23010000147","2023-01-01 01:42:59","1","4700","","MANSFIELD","ST","","","","415V","R","814","1"
"E23010000148","2023-01-01 01:43:43","1","600","","05TH","AVE","","","","415V","A","523","1"
"E23010000149","2023-01-01 01:45:46","1","400","","G","ST","","","","415V","K","523","1"
"E23010000150","2023-01-01 01:46:59","1","3200","","ANELLA","RD","","","","11-7","K","712","1"
"E23010000151","2023-01-01 01:48:29","1","4300","","OCEAN","BLV","","","","FD","DUP","122","2"
"E23010000152","2023-01-01 01:48:51","1","4300","","OCEAN","BLV","","","","1146","K","122","0"
"E23010000153","2023-01-01 01:50:15","1","0","","04TH","AVE","","F","","1147","CAN","523","0"
"E23010000154","2023-01-01 01:50:47","1","4000","","TAYLOR","ST","","","","911P","CAN","625","2"
"E23010000155","2023-01-01 01:51:00","1","0","","11TH","AVE","","C","","AU23103","W","524","2"
"E23010000156","2023-01-01 01:51:34","1","0","","PACIFIC HWY NB OFF RAMP","","","BARNETT","","HZRD","K","611","1"
"E23010000157","2023-01-01 01:54:36","1","0","","05TH","AVE","","MARKET","","1186","CAN","523","3"
"E23010000159","2023-01-01 01:55:19","1","6100","","WINCHESTER","ST","","","","911","CAN","438","1"
"E23010000160","2023-01-01 01:55:24","1","600","","05TH","AVE","","","","415V","K","523","1"
"E23010000161","2023-01-01 01:55:43","1","3700","","SOUTHVIEW","DR","","","","20002R","K","113","3"
"E23010000162","2023-01-01 01:58:06","1","800","","05TH","AVE","","","","FD","K","523","2"
"E23010000163","2023-01-01 01:58:56","1","4000","","HANCOCK","ST","","","","CW","W","611","1"
"E23010000164","2023-01-01 01:59:46","1","1300","","EL PRADO","","","","","1185","W","531","3"
"E23010000165","2023-01-01 01:59:56","1","2100","","EL CAJON","BLV","","","","415V","R","624","1"
"E23010000166","2023-01-01 02:00:35","1","3800","","GAMMA","ST","","","","1182","R","442","2"
"E23010000167","2023-01-01 02:00:55","1","0","","11TH","AVE","","MARKET","","20001","R","521","0"
"E23010000168","2023-01-01 02:01:24","1","800","","05TH","AVE","","","","11-8","CAN","523","0"
"E23010000169","2023-01-01 02:02:28","1","300","E","SAN YSIDRO","BLV","","","","211","K","712","1"
"E23010000170","2023-01-01 02:03:13","1","2500","","IMPERIAL","AVE","","","","HZRD","W","512","1"
"E23010000171","2023-01-01 02:03:52","1","500","","F","ST","","","","415V","R","523","0"
"E23010000172","2023-01-01 02:07:45","1","3300","","CARMEL MOUNTAIN","RD","","","","MPSSTP","O","932","2"
"E23010000173","2023-01-01 02:07:55","1","2800","","OCEAN VIEW","BLV","","","","459A","K","512","2"
"E23010000174","2023-01-01 02:09:16","1","0","","RUFFIN","CT","","LIGHTWAVE","","HZRD","K","313","1"
"E23010000175","2023-01-01 02:09:43","1","900","","ARMACOST","RD","","","","415V","K","434","1"
"E23010000176","2023-01-01 02:12:10","1","5300","","WEST FALLS VIEW","DR","","","","1171","K","327","1"
"E23010000177","2023-01-01 02:13:04","1","600","","06TH","AVE","","","","415V","K","523","0"
"E23010000178","2023-01-01 02:13:19","1","500","","F","ST","","","","415V","CAN","523","1"
"E23010000179","2023-01-01 02:15:41","1","1100","","WILBUR","AVE","","","","415","K","122","2"
"E23010000180","2023-01-01 02:16:49","1","0","","05TH","AVE","","F","","FD","K","523","2"
"E23010000181","2023-01-01 02:17:36","1","15500","","JIMMY DURANTE","BLV","","","","415","K","933","2"
"E23010000182","2023-01-01 02:19:44","1","1900","","DALE","ST","","","","911","K","518","1"
"E23010000183","2023-01-01 02:20:24","1","4800","","NORTH HARBOR","DR","","","","1130","W","615","1"
"E23010000184","2023-01-01 02:20:59","1","12300","","EL CAMINO REAL","","","","","1183","U","934","0"
"E23010000185","2023-01-01 02:21:27","1","4200","","BALBOA","AVE","","","","T","K","114","2"
"E23010000186","2023-01-01 02:22:43","1","4300","","OCEAN","BLV","","","","FD","K","122","2"
"E23010000187","2023-01-01 02:22:50","1","5300","","EAST FALLS VIEW","DR","","","","415V","K","327","1"
"E23010000188","2023-01-01 02:28:11","1","500","","04TH","AVE","","","","CW","DUP","523","1"
"E23010000189","2023-01-01 02:28:18","1","0","","PACIFIC HWY","WY","","WASHINGTON","","HZRD","K","628","1"
"E23010000190","2023-01-01 02:29:58","1","0","","15TH","ST","","G","","1183","K","521","0"
"E23010000191","2023-01-01 02:30:33","1","400","","E","ST","","","","415","K","523","2"
"E23010000192","2023-01-01 02:31:30","1","0","","16TH","ST","","G","","1147","DUP","521","0"
"E23010000193","2023-01-01 02:33:27","1","5400","","LINDA VISTA","RD","","","","20001","A","622","0"
"E23010000194","2023-01-01 02:33:46","1","0","","KINGSLEY","ST","","ROSECRANS","","415V","A","612","1"
"E23010000195","2023-01-01 02:34:29","1","700","","FRONT","ST","","","","242","K","525","1"
"E23010000196","2023-01-01 02:35:05","1","4200","","48TH","ST","","","","INFO","W","826","2"
"E23010000197","2023-01-01 02:35:14","1","0","","HORNBLEND","ST","","INGRAHAM","","23152-CR","A","122","2"
"E23010000198","2023-01-01 02:35:58","1","4300","","LANDIS","ST","","","","INFO","W","834","2"
"E23010000199","2023-01-01 02:36:36","1","500","","04TH","AVE","","","","11-8","K","523","0"
"E23010000200","2023-01-01 02:36:43","1","500","","FRONT","ST","","","","242","W","522","1"
"E23010000201","2023-01-01 02:37:14","1","7900","","FROST","ST","","","","415","K","314","2"
"E23010000202","2023-01-01 02:37:28","1","800","","THOMAS","AVE","","","","242","K","122","1"
"E23010000204","2023-01-01 02:41:38","1","0","W","ASH","ST","","COLUMBIA","","AU2","W","528","2"
"E23010000205","2023-01-01 02:41:40","1","0","","LINCOLN","AVE","","33RD","","20002","R","838","1"
"E23010000207","2023-01-01 02:43:35","1","500","S","32ND","ST","","","","20002","R","512","1"
"E23010000208","2023-01-01 02:43:46","1","500","","E","ST","","","","415","W","523","2"
"E23010000209","2023-01-01 02:44:43","1","2800","","BEYER","BLV","","","","HZRD","K","723","1"
"E23010000210","2023-01-01 02:45:18","1","0","","MIRA MESA","BLV","","BLACK MOUNTAIN","","1183","K","242","0"
"E23010000211","2023-01-01 02:46:05","1","200","S","36TH","ST","","","","CW","W","441","1"
"E23010000212","2023-01-01 02:47:04","1","4900","","CRYSTAL","DR","","","","459C","K","122","2"
"E23010000213","2023-01-01 02:49:54","1","500","","MARKET","ST","","","","FD","CAN","523","2"
"E23010000214","2023-01-01 02:50:44","1","0","","ARIZONA","ST","","UNIVERSITY","","HZRD","K","813","1"
"E23010000215","2023-01-01 02:51:11","1","1100","S","39TH","ST","","","","415","K","442","2"
"E23010000216","2023-01-01 02:51:32","1","2700","","BORDEAUX","AVE","","","","459A","K","124","2"
"E23010000217","2023-01-01 02:52:50","1","600","","F","ST","","","","415","W","524","2"
"E23010000218","2023-01-01 02:54:48","1","8700","","GOLD COAST","DR","","","","415V","A","242","0"
"E23010000219","2023-01-01 02:55:03","1","6700","","LA JOLLA SCENIC","DR","","","","HZRD","O","124","1"
"E23010000220","2023-01-01 02:55:07","1","2400","","FOGG","ST","","","","459A","K","122","2"
"E23010000221","2023-01-01 02:56:58","1","9800","","SUMMERS RIDGE","RD","","","","459A","K","931","3"
"E23010000222","2023-01-01 02:57:16","1","1600","","LOGAN","AVE","","","","10851","R","511","1"
"E23010000223","2023-01-01 02:57:57","1","0","","MADDEN","AVE","","BEYER","","1183","R","724","0"
"E23010000225","2023-01-01 03:00:19","1","800","","05TH","AVE","","","","20002","R","523","1"
"E23010000226","2023-01-01 03:00:23","1","500","","05TH","AVE","","","","415","K","523","2"
"E23010000227","2023-01-01 03:03:10","1","0","","EUCLID","AVE","","CASTANA","","T","K","446","2"
"E23010000229","2023-01-01 03:07:17","1","400","","06TH","AVE","","","","242","W","521","1"
"E23010000230","2023-01-01 03:09:32","1","3700","","RIVIERA","DR","","","","1087","K","122","2"
"E23010000231","2023-01-01 03:09:45","1","700","","05TH","AVE","","","","415V","K","523","1"
"E23010000232","2023-01-01 03:11:29","1","300","","43RD","ST","","","","11-7","A","444","1"
"E23010000233","2023-01-01 03:11:37","1","0","","10TH","AVE","","MARKET","","FD","K","521","2"
"E23010000234","2023-01-01 03:14:10","1","0","","HORNBLEND","ST","","INGRAHAM","","245","R","122","1"
"E23010000235","2023-01-01 03:14:38","1","0","","COLLEGE","AVE","","ALVARADO","","1183","R","327","0"
"E23010000236","2023-01-01 03:16:53","1","1600","","ROBINSON","AVE","","","","1171","K","627","1"
"E23010000237","2023-01-01 03:17:38","1","1000","S","32ND","ST","","","","PARTY","W","512","3"
"E23010000238","2023-01-01 03:18:57","1","9300","","MIRA MESA","BLV","","","","20002","K","242","1"
"E23010000239","2023-01-01 03:19:20","1","0","NB","15","","","CENTER CITY","","1183","K","-1","0"
"E23010000240","2023-01-01 03:20:10","1","1200","","LORING","ST","","","","242","K","122","1"
"E23010000241","2023-01-01 03:21:02","1","0","","MARKET","ST","","10TH","","FD","CAN","521","2"
"E23010000242","2023-01-01 03:21:17","1","2000","","EMERALD","ST","","","","242","R","122","1"
"E23010000243","2023-01-01 03:21:23","1","6200","","CAMINO DE LA COSTA","","","","","459A","U","124","2"
"E23010000244","2023-01-01 03:24:13","1","1000","","06TH","AVE","","","","911","CAN","524","1"
"E23010000245","2023-01-01 03:25:24","1","3800","","ORANGE","AVE","","","","459A","W","838","2"
"E23010000246","2023-01-01 03:25:59","1","4400","","KENDALL","ST","","","","647F","K","122","2"
"E23010000247","2023-01-01 03:26:01","1","7100","","HILLSBORO","ST","","","","HZRD","W","322","1"
"E23010000248","2023-01-01 03:26:23","1","1600","","NATIONAL","AVE","","","","459A","U","511","3"
"E23010000249","2023-01-01 03:27:23","1","4900","","64TH","ST","","","","459A","K","327","2"
"E23010000250","2023-01-01 03:27:56","1","9400","","MIRA MESA","BLV","","","","459A","U","242","3"
"E23010000251","2023-01-01 03:28:19","1","1000","","05TH","AVE","","","","245","A","523","1"
"E23010000252","2023-01-01 03:28:26","1","4400","","EL CAJON","BLV","","","","459A","U","824","2"
"E23010000253","2023-01-01 03:31:26","1","800","S","31ST","ST","","","","459A","U","512","2"
"E23010000254","2023-01-01 03:32:36","1","4000","","TOWNSGATE","DR","","","","1111","K","934","2"
"E23010000255","2023-01-01 03:32:58","1","4700","","IMPERIAL","AVE","","","","459A","K","446","2"
"E23010000256","2023-01-01 03:33:59","1","10500","","MARAUDER","WAY","","","","459A","K","242","2"
"E23010000257","2023-01-01 03:34:04","1","3800","","MIDWAY","DR","","","","1140OD","K","613","0"
"E23010000258","2023-01-01 03:34:59","1","2700","","UTICA","DR","","","","459A","U","437","2"
"E23010000259","2023-01-01 03:39:23","1","0","","712G3","","","","","1021","K","-1","3"
"E23010000260","2023-01-01 03:40:09","1","7500","","AIRWAY","RD","","","","459A","K","713","3"
"E23010000261","2023-01-01 03:40:11","1","4400","","EL CAJON","BLV","","","","20002","K","831","1"
"E23010000262","2023-01-01 03:40:39","1","0","","RUFFIN","CT","","LIGHTWAVE","","HZRD","W","313","1"
"E23010000263","2023-01-01 03:42:03","1","2700","","SULA","WAY","","","","10851R","S","437","2"
"E23010000264","2023-01-01 03:42:33","1","7700","","FRIARS","RD","","","","459A","K","315","3"
"E23010000265","2023-01-01 03:45:39","1","200","","VIA DE SAN YSIDRO","","","","","HZRD","K","712","1"
"E23010000266","2023-01-01 03:45:44","1","2800","","LOGAN","AVE","","","","PARTY","W","512","3"
"E23010000267","2023-01-01 03:45:58","1","100","E","SAN YSIDRO","BLV","","","","415","K","712","2"
"E23010000268","2023-01-01 03:46:57","1","3500","","SPARLING","ST","","","","HZRD","K","451","1"
"E23010000269","2023-01-01 03:47:46","1","0","","COUNTRY CLUB LN","","","NUTMEG","","INFO","W","-1","2"
"E23010000270","2023-01-01 03:48:49","1","0","","MARKET","ST","","24TH","","FD","K","514","2"
"E23010000271","2023-01-01 03:49:19","1","4500","","MISSION GORGE","PL","","","","RESCUE","K","321","0"
"E23010000272","2023-01-01 03:49:44","1","9200","","MIRA MESA","BLV","","","","1182","DUP","242","2"
"E23010000273","2023-01-01 03:50:33","1","5800","","IMPERIAL","AVE","","","","459A","K","432","3"
"E23010000274","2023-01-01 03:50:44","1","3300","","SPORTS ARENA","BLV","","","","459A","U","611","3"
"E23010000275","2023-01-01 03:50:55","1","3900","","NORMAL","ST","","","","415","CAN","627","2"
"E23010000276","2023-01-01 03:52:06","1","3100","","MISSION","BLV","","","","459A","K","121","3"
"E23010000277","2023-01-01 03:52:24","1","2000","","SANYO","AVE","","","","459A","U","713","3"
"E23010000278","2023-01-01 03:53:09","1","11200","","WEST BERNARDO","CT","","","","459A","U","234","3"
"E23010000279","2023-01-01 03:53:10","1","4000","","T","ST","","","","459A","CAN","441","2"
"E23010000280","2023-01-01 03:53:34","1","4300","","UNIVERSITY","AVE","","","","911","K","834","1"
"E23010000281","2023-01-01 03:54:04","1","17800","","AVENIDA CORDILLERA","","","","","5150","K","234","2"
"E23010000283","2023-01-01 03:59:53","1","3600","","BARNETT","AVE","","","","415","K","611","2"
"E23010000284","2023-01-01 04:00:44","1","4200","","ORCHARD","AVE","","","","459A","K","613","2"
"E23010000285","2023-01-01 04:00:51","1","7800","","FAY","AVE","","","","602","K","124","2"
"E23010000286","2023-01-01 04:03:03","1","4600","","PACIFIC","HWY","","","","1130","O","625","1"
"E23010000287","2023-01-01 04:04:11","1","3600","","LOUISIANA","ST","","","","911","K","813","1"
"E23010000288","2023-01-01 04:04:41","1","4600","","ZION","AVE","","","","11-6","CAN","322","1"
"E23010000289","2023-01-01 04:05:34","1","1800","","EUCLID","AVE","","","","CC","CAN","451","2"
"E23010000290","2023-01-01 04:07:32","1","0","","PACIFIC HWY","WY","","HAWTHORN","","AU1","W","527","1"
"E23010000291","2023-01-01 04:09:58","1","9800","","GENESEE","AVE","","","","242R","DUP","115","3"
"E23010000292","2023-01-01 04:10:19","1","4300","","33RD","ST","","","","AU1171","W","811","1"
