,incident_num,date_time,day_of_week,address_number_primary,address_dir_primary,address_road_primary,address_sfx_primary,address_dir_intersecting,address_road_intersecting,address_sfx_intersecting,call_type,disposition,beat,priority,address_number_primary_str,Address
25395,E23010027214,2023-01-20 01:32:15,6,5300,,UNIVERSITY,AVE,,,,459A,K,826,3,5300,"5300 UNIVERSITY AVE San Diego, California"
25396,E23010027215,2023-01-20 01:35:14,6,4900,,NEWPORT,AVE,,,,415,K,614,2,4900,"4900 NEWPORT AVE San Diego, California"
25397,E23010027216,2023-01-20 01:39:44,6,600,,FRONT (SB),ST,,,,1151,O,712,2,600,"600 FRONT (SB) ST San Diego, California"
25398,E23010027217,2023-01-20 01:40:23,6,3600,,04TH,AVE,,,,415,K,627,2,3600,"3600 04TH AVE San Diego, California"
25399,E23010027218,2023-01-20 01:40:32,6,100,,ELM,ST,,,,1140OD,K,529,0,100,"100 ELM ST San Diego, California"
25400,E23010027219,2023-01-20 01:40:59,6,0,,IMPERIAL,AVE,,16TH,,CCCC,W,521,4,,"IMPERIAL AVE San Diego, California"
25401,E23010027220,2023-01-20 01:42:18,6,2700,,BOSTON,AVE,,,,T,O,511,2,2700,"2700 BOSTON AVE San Diego, California"
25402,E23010027221,2023-01-20 01:43:23,6,0,,MONTEZUMA,RD,,EL CAJON,,T,K,821,2,,"MONTEZUMA RD San Diego, California"
25403,E23010027222,2023-01-20 01:43:54,6,600,,05TH,AVE,,,,415V,A,523,1,600,"600 05TH AVE San Diego, California"
25404,E23010027223,2023-01-20 01:45:26,6,1200,,WEST MORENA,BLV,,,,459,A,622,0,1200,"1200 WEST MORENA BLV San Diego, California"
25405,E23010027224,2023-01-20 01:46:01,6,0,,06TH,AVE,,G,,242,DUP,523,1,,"06TH AVE San Diego, California"
25406,E23010027225,2023-01-20 01:46:36,6,5800,,MONTEZUMA,RD,,,,HZRD,K,326,1,5800,"5800 MONTEZUMA RD San Diego, California"
25407,E23010027226,2023-01-20 01:48:49,6,7000,,FRIARS,RD,,,,72HR,W,623,3,7000,"7000 FRIARS RD San Diego, California"
25408,E23010027227,2023-01-20 01:49:44,6,600,,24TH,ST,,,,SELENF,K,514,3,600,"600 24TH ST San Diego, California"
25409,E23010027228,2023-01-20 01:51:38,6,12900,,EL CAMINO REAL,,,,,SELENF,K,934,3,12900,"12900 EL CAMINO REAL San Diego, California"
25410,E23010027229,2023-01-20 01:53:14,6,5900,,SHAW LOPEZ,ROW,,,,459A,X,931,2,5900,"5900 SHAW LOPEZ ROW San Diego, California"
25411,E23010027231,2023-01-20 01:57:33,6,700,,A,ST,,,,10852C,K,524,2,700,"700 A ST San Diego, California"
25412,E23010027232,2023-01-20 01:57:49,6,2000,,DAIRY MART,RD,,,,LOJACK,A,712,1,2000,"2000 DAIRY MART RD San Diego, California"
25413,E23010027233,2023-01-20 01:59:50,6,2000,,EBERS,ST,,,,586,O,614,4,2000,"2000 EBERS ST San Diego, California"
25414,E23010027234,2023-01-20 02:00:42,6,8800,,VIA ANDAR,,,,,PARTY,K,115,3,8800,"8800 VIA ANDAR San Diego, California"
25415,E23010027235,2023-01-20 02:03:58,6,3300,,ORANGE,AVE,,,,459A,K,838,3,3300,"3300 ORANGE AVE San Diego, California"
25416,E23010027236,2023-01-20 02:06:23,6,3400,,CAMINO DEL RIO NORTH,,,,,459A,R,315,2,3400,"3400 CAMINO DEL RIO NORTH San Diego, California"
25417,E23010027238,2023-01-20 02:07:53,6,3000,,53RD,ST,,,,CCCC,W,451,4,3000,"3000 53RD ST San Diego, California"
25418,E23010027239,2023-01-20 02:11:18,6,16700,,BERNARDO CENTER,DR,,,,459A,K,234,3,16700,"16700 BERNARDO CENTER DR San Diego, California"
25419,E23010027240,2023-01-20 02:13:08,6,4100,,MISSION,BLV,,,,459A,K,122,3,4100,"4100 MISSION BLV San Diego, California"
25420,E23010027242,2023-01-20 02:13:19,6,500,,MARKET,ST,,,,415V,A,523,1,500,"500 MARKET ST San Diego, California"
25421,E23010027243,2023-01-20 02:18:00,6,2100,,CORONADO (SB),AVE,,,,5150,K,722,2,2100,"2100 CORONADO (SB) AVE San Diego, California"
25422,E23010027244,2023-01-20 02:18:38,6,7000,,FRIARS,RD,,,,459A,CAN,623,3,7000,"7000 FRIARS RD San Diego, California"
25423,E23010027245,2023-01-20 02:23:41,6,600,,10TH,AVE,,,,459A,CAN,521,3,600,"600 10TH AVE San Diego, California"
25424,E23010027246,2023-01-20 02:24:58,6,1800,S,32ND,ST,,,,CW,K,511,2,1800,"1800 S 32ND ST San Diego, California"
25425,E23010027247,2023-01-20 02:25:39,6,4100,,44TH,ST,,,,10852C,K,831,2,4100,"4100 44TH ST San Diego, California"
25426,E23010027249,2023-01-20 02:29:01,6,1400,,F,ST,,,,MPSSTP,O,521,2,1400,"1400 F ST San Diego, California"
25427,E23010027250,2023-01-20 02:37:31,6,1500,,INDIA,ST,,,,602,CAN,528,2,1500,"1500 INDIA ST San Diego, California"
25428,E23010027252,2023-01-20 02:40:12,6,1200,,WEST MORENA,BLV,,,,459A,K,622,2,1200,"1200 WEST MORENA BLV San Diego, California"
25429,E23010027253,2023-01-20 02:40:14,6,1700,,GARNET,AVE,,,,1016,A,122,2,1700,"1700 GARNET AVE San Diego, California"
25430,E23010027254,2023-01-20 02:41:12,6,10400,,LES ARBRES,PL,,,,459A,K,241,2,10400,"10400 LES ARBRES PL San Diego, California"
25431,E23010027255,2023-01-20 02:42:45,6,0,,LINCOLN,AVE,,UNIVERSITY,,417,R,838,0,,"LINCOLN AVE San Diego, California"
25432,E23010027256,2023-01-20 02:43:03,6,500,,C,ST,,,,1087,K,524,2,500,"500 C ST San Diego, California"
25433,E23010027257,2023-01-20 02:49:52,6,1800,W,WASHINGTON,ST,,,,488,O,626,2,1800,"1800 W WASHINGTON ST San Diego, California"
25434,E23010027258,2023-01-20 02:52:30,6,1200,,WEST MORENA,BLV,,,,594,R,622,2,1200,"1200 WEST MORENA BLV San Diego, California"
25435,E23010027259,2023-01-20 02:56:55,6,1500,,05TH,AVE,,,,FD,K,526,2,1500,"1500 05TH AVE San Diego, California"
25436,E23010027260,2023-01-20 02:59:16,6,9200,,AERO,DR,,,,PAPER,O,311,3,9200,"9200 AERO DR San Diego, California"
25437,E23010027261,2023-01-20 03:02:43,6,800,,G,ST,,,,602,K,524,2,800,"800 G ST San Diego, California"
25438,E23010027262,2023-01-20 03:03:44,6,1400,,BROADWAY,,,,,AU1,W,521,1,1400,"1400 BROADWAY San Diego, California"
25439,E23010027264,2023-01-20 03:06:32,6,200,,06TH,AVE,,,,415,CAN,521,2,200,"200 06TH AVE San Diego, California"
25440,E23010027265,2023-01-20 03:08:16,6,500,W,SAN YSIDRO,BLV,,,,1171,K,712,1,500,"500 W SAN YSIDRO BLV San Diego, California"
25441,E23010027266,2023-01-20 03:13:19,6,7300,,CLAIREMONT MESA,BLV,,,,459A,K,313,3,7300,"7300 CLAIREMONT MESA BLV San Diego, California"
25442,E23010027267,2023-01-20 03:15:18,6,1200,,04TH,AVE,,,,SLEEPER,K,524,3,1200,"1200 04TH AVE San Diego, California"
25443,E23010027268,2023-01-20 03:15:55,6,3500,,DEL REY,ST,,,,MPSSTP,R,122,2,3500,"3500 DEL REY ST San Diego, California"
25444,E23010027269,2023-01-20 03:20:47,6,4300,,EL CAJON,BLV,,,,1150,K,824,2,4300,"4300 EL CAJON BLV San Diego, California"
25445,E23010027270,2023-01-20 03:20:49,6,8400,,JACKIE,DR,,,,INFO,W,324,2,8400,"8400 JACKIE DR San Diego, California"
25446,E23010027271,2023-01-20 03:28:00,6,7500,,AIRWAY,RD,,,,459A,O,713,2,7500,"7500 AIRWAY RD San Diego, California"
25447,E23010027272,2023-01-20 03:29:27,6,2300,,ULRIC,ST,,,,459A,R,621,3,2300,"2300 ULRIC ST San Diego, California"
25448,E23010027273,2023-01-20 03:31:42,6,6100,,EL CAJON,BLV,,,,459,R,821,0,6100,"6100 EL CAJON BLV San Diego, California"
25449,E23010027274,2023-01-20 03:33:29,6,1700,,ORO VISTA,RD,,,,459A,R,722,3,1700,"1700 ORO VISTA RD San Diego, California"
25450,E23010027275,2023-01-20 03:37:25,6,13600,,POWAY,RD,,,,AU10851,W,-1,2,13600,"13600 POWAY RD San Diego, California"
25451,E23010027277,2023-01-20 03:37:39,6,0,,30TH,ST,,LANDIS,,CW,K,813,1,,"30TH ST San Diego, California"
25452,E23010027278,2023-01-20 03:39:05,6,10600,,ANIMA,WY,,,,415,R,242,2,10600,"10600 ANIMA WY San Diego, California"
25453,E23010027279,2023-01-20 03:42:49,6,12500,,HEATHERTON,CT,,,,911,U,231,1,12500,"12500 HEATHERTON CT San Diego, California"
25454,E23010027280,2023-01-20 03:43:33,6,4300,,LANDIS,ST,,,,MTG,K,834,4,4300,"4300 LANDIS ST San Diego, California"
25455,E23010027281,2023-01-20 03:43:53,6,700,E,SAN YSIDRO,BLV,,,,415,K,714,2,700,"700 E SAN YSIDRO BLV San Diego, California"
25456,E23010027282,2023-01-20 03:49:53,6,800,,17TH,ST,,,,459,K,521,1,800,"800 17TH ST San Diego, California"
25457,E23010027283,2023-01-20 03:49:59,6,700,W,E,ST,,,,1147,K,522,0,700,"700 W E ST San Diego, California"
25458,E23010027284,2023-01-20 03:52:12,6,100,,PARK,PLZ,,,,415,K,541,2,100,"100 PARK PLZ San Diego, California"
25459,E23010027285,2023-01-20 03:54:46,6,900,,STATE,ST,,,,11-6,CAN,522,1,900,"900 STATE ST San Diego, California"
25460,E23010027286,2023-01-20 03:57:22,6,8700,,APPROACH,RD,,,,459C,K,713,2,8700,"8700 APPROACH RD San Diego, California"
25461,E23010027287,2023-01-20 04:03:03,6,0,,JARVIS,ST,,ROSECRANS,,MTG,K,615,4,,"JARVIS ST San Diego, California"
25462,E23010027288,2023-01-20 04:05:37,6,1700,,STATE,ST,,,,459A,CAN,528,2,1700,"1700 STATE ST San Diego, California"
25463,E23010027289,2023-01-20 04:06:28,6,4300,,OCEAN VIEW,BLV,,,,T,R,441,2,4300,"4300 OCEAN VIEW BLV San Diego, California"
25464,E23010027290,2023-01-20 04:08:56,6,2400,,MORENA,BLV,,,,459A,R,116,3,2400,"2400 MORENA BLV San Diego, California"
25465,E23010027292,2023-01-20 04:13:15,6,1000,,EMERALD,ST,,,,MP,R,122,2,1000,"1000 EMERALD ST San Diego, California"
25466,E23010027293,2023-01-20 04:20:50,6,200,W,ARBOR,DR,,,,242R,W,627,3,200,"200 W ARBOR DR San Diego, California"
25467,E23010027296,2023-01-20 04:26:45,6,1400,,PARK,BLV,,,,459A,CAN,521,2,1400,"1400 PARK BLV San Diego, California"
25468,E23010027297,2023-01-20 04:26:57,6,0,,07TH,AVE,,K,,245,DUP,541,1,,"07TH AVE San Diego, California"
25469,E23010027298,2023-01-20 04:30:31,6,3200,,HANCOCK,ST,,,,10851E,K,611,3,3200,"3200 HANCOCK ST San Diego, California"
25470,E23010027299,2023-01-20 04:38:13,6,300,,AVERIL,RD,,,,459HP,R,712,0,300,"300 AVERIL RD San Diego, California"
25471,E23010027300,2023-01-20 04:43:55,6,400,,EUCLID,AVE,,,,5150,K,446,2,400,"400 EUCLID AVE San Diego, California"
25472,E23010027301,2023-01-20 04:45:03,6,1700,,J,ST,,,,FU,K,521,2,1700,"1700 J ST San Diego, California"
25473,E23010027302,2023-01-20 04:45:58,6,4500,,EL CAJON,BLV,,,,T,K,824,2,4500,"4500 EL CAJON BLV San Diego, California"
25474,E23010027303,2023-01-20 04:47:32,6,900,,F,ST,,,,415,K,521,2,900,"900 F ST San Diego, California"
25475,E23010027304,2023-01-20 04:51:12,6,7200,,LISBON,ST,,,,459A,CAN,434,2,7200,"7200 LISBON ST San Diego, California"
25476,E23010027305,2023-01-20 04:53:01,6,3500,,01ST,AVE,,,,415V,K,627,1,3500,"3500 01ST AVE San Diego, California"
25477,E23010027306,2023-01-20 04:59:57,6,3700,,MAIN,ST,,,,415,K,511,2,3700,"3700 MAIN ST San Diego, California"
25478,E23010027307,2023-01-20 05:00:28,6,3500,,SPORTS ARENA,BLV,,,,459A,CAN,611,3,3500,"3500 SPORTS ARENA BLV San Diego, California"
25479,E23010027308,2023-01-20 05:00:53,6,6300,,UNIVERSITY,AVE,,,,488R,K,841,9,6300,"6300 UNIVERSITY AVE San Diego, California"
25480,E23010027309,2023-01-20 05:05:03,6,5400,,UNIVERSITY,AVE,,,,1186,K,822,3,5400,"5400 UNIVERSITY AVE San Diego, California"
25481,E23010027310,2023-01-20 05:05:22,6,5400,,RESERVOIR,DR,,,,459HP,K,327,0,5400,"5400 RESERVOIR DR San Diego, California"
25482,E23010027311,2023-01-20 05:05:40,6,6500,,NANCY RIDGE,DR,,,,459A,U,931,3,6500,"6500 NANCY RIDGE DR San Diego, California"
25483,E23010027312,2023-01-20 05:06:52,6,0,SB,15,,,CAMINO DEL NORTE,,1150,O,234,2,,"SB 15 San Diego, California"
25484,E23010027313,2023-01-20 05:08:04,6,700,,SEAGIRT,CT,,,,415N,W,121,3,700,"700 SEAGIRT CT San Diego, California"
25485,E23010027314,2023-01-20 05:10:12,6,4000,,MOUNT ABRAHAM,AVE,,,,1185,R,111,3,4000,"4000 MOUNT ABRAHAM AVE San Diego, California"
25486,E23010027315,2023-01-20 05:11:59,6,12600,,TORREY BLUFF,DR,,,,1140OD,K,934,0,12600,"12600 TORREY BLUFF DR San Diego, California"
25487,E23010027316,2023-01-20 05:14:22,6,5000,,WIGHTMAN,ST,,,,1171,K,827,1,5000,"5000 WIGHTMAN ST San Diego, California"
25488,E23010027317,2023-01-20 05:18:22,6,8800,,CLAIREMONT MESA,BLV,,,,459A,U,313,3,8800,"8800 CLAIREMONT MESA BLV San Diego, California"
25489,E23010027318,2023-01-20 05:18:28,6,0,,05TH,AVE,,K,,C11,O,523,1,,"05TH AVE San Diego, California"
25490,E23010027319,2023-01-20 05:19:46,6,0,NB,805,,,47TH,,T,O,-1,2,,"NB 805 San Diego, California"
25491,E23010027321,2023-01-20 05:24:35,6,8000,,OTHELLO,AVE,,,,SELENF,O,313,3,8000,"8000 OTHELLO AVE San Diego, California"
25492,E23010027322,2023-01-20 05:26:42,6,900,,10TH,AVE,,,,1146,K,524,0,900,"900 10TH AVE San Diego, California"
25493,E23010027323,2023-01-20 05:27:48,6,9800,,GENESEE,AVE,,,,459A,K,115,3,9800,"9800 GENESEE AVE San Diego, California"
25494,E23010027324,2023-01-20 05:30:59,6,5500,,RUFFIN,RD,,,,MTG,O,313,4,5500,"5500 RUFFIN RD San Diego, California"
25495,E23010027327,2023-01-20 05:32:55,6,4300,,NEWTON,AVE,,,,415,K,441,2,4300,"4300 NEWTON AVE San Diego, California"
25496,E23010027328,2023-01-20 05:35:49,6,5700,,AMARO,DR,,,,11-7,K,312,1,5700,"5700 AMARO DR San Diego, California"
25497,E23010027329,2023-01-20 05:39:35,6,7500,,CONVOY,CT,,,,SELENF,K,313,3,7500,"7500 CONVOY CT San Diego, California"
25498,E23010027330,2023-01-20 05:41:03,6,2800,,CAMINO DEL RIO SOUTH,,,,,459A,K,315,3,2800,"2800 CAMINO DEL RIO SOUTH San Diego, California"
25499,E23010027331,2023-01-20 05:46:26,6,7500,,DAGGET,ST,,,,SELENF,O,313,3,7500,"7500 DAGGET ST San Diego, California"
25500,E23010027332,2023-01-20 05:50:34,6,12000,,CARMEL COUNTRY,RD,,,,911,K,934,1,12000,"12000 CARMEL COUNTRY RD San Diego, California"
25501,E23010027333,2023-01-20 05:56:17,6,13300,,SALMON RIVER,RD,,,,MTG,K,233,4,13300,"13300 SALMON RIVER RD San Diego, California"
25502,E23010027334,2023-01-20 05:58:20,6,1300,S,36TH,ST,,,,CW,K,442,1,1300,"1300 S 36TH ST San Diego, California"
25503,E23010027335,2023-01-20 06:00:00,6,1500,,NATIONAL,AVE,,,,FU,K,511,2,1500,"1500 NATIONAL AVE San Diego, California"
25504,E23010027336,2023-01-20 06:01:42,6,700,,E,ST,,,,FU,K,522,2,700,"700 E ST San Diego, California"
25505,E23010027337,2023-01-20 06:03:16,6,700,,E,ST,,,,FU,K,522,2,700,"700 E ST San Diego, California"
25506,E23010027338,2023-01-20 06:05:19,6,1200,,K,ST,,,,FU,K,521,2,1200,"1200 K ST San Diego, California"
25507,E23010027339,2023-01-20 06:05:35,6,0,,14TH,ST,,,,653M,K,521,9,,"14TH ST San Diego, California"
25508,E23010027340,2023-01-20 06:06:49,6,1600,,NATIONAL,AVE,,,,FU,K,511,2,1600,"1600 NATIONAL AVE San Diego, California"
25509,E23010027341,2023-01-20 06:07:18,6,7200,,ENGINEER,RD,,,,SELENF,K,313,3,7200,"7200 ENGINEER RD San Diego, California"
25510,E23010027342,2023-01-20 06:07:49,6,4300,,RUFFNER,ST,,,,FU,K,313,2,4300,"4300 RUFFNER ST San Diego, California"
25511,E23010027343,2023-01-20 06:12:17,6,4100,,43RD,ST,,,,INFO,W,832,2,4100,"4100 43RD ST San Diego, California"
25512,E23010027344,2023-01-20 06:15:30,6,4600,,MERCURY,ST,,,,SELENF,O,313,3,4600,"4600 MERCURY ST San Diego, California"
25513,E23010027345,2023-01-20 06:21:53,6,7200,,CLAIREMONT MESA,BLV,,,,415,K,313,2,7200,"7200 CLAIREMONT MESA BLV San Diego, California"
25514,E23010027346,2023-01-20 06:23:56,6,1400,,BROADWAY,,,,,MTG,K,521,4,1400,"1400 BROADWAY San Diego, California"
25515,E23010027347,2023-01-20 06:24:40,6,1100,,UNION,ST,,,,COURT,,524,4,1100,"1100 UNION ST San Diego, California"
25516,E23010027348,2023-01-20 06:29:35,6,5600,,MISSION CENTER,RD,,,,459A,U,315,3,5600,"5600 MISSION CENTER RD San Diego, California"
25517,E23010027349,2023-01-20 06:30:43,6,0,,10TH,AVE,,BROADWAY,,415V,K,524,1,,"10TH AVE San Diego, California"
25518,E23010027350,2023-01-20 06:32:55,6,400,,DENNERY,RD,,,,AU2,K,725,2,400,"400 DENNERY RD San Diego, California"
25519,E23010027351,2023-01-20 06:34:48,6,0,,ROSECRANS,ST,,MOORE,,NONU,A,611,1,,"ROSECRANS ST San Diego, California"
25520,E23010027352,2023-01-20 06:36:06,6,6800,,POTOMAC,ST,,,,ANIMAL,K,437,1,6800,"6800 POTOMAC ST San Diego, California"
25521,E23010027353,2023-01-20 06:36:15,6,1900,,RIMBEY,AVE,,,,CC,K,722,3,1900,"1900 RIMBEY AVE San Diego, California"
25522,E23010027354,2023-01-20 06:38:38,6,4400,,LA JOLLA VILLAGE,DR,,,,415,K,115,2,4400,"4400 LA JOLLA VILLAGE DR San Diego, California"
25523,E23010027355,2023-01-20 06:39:28,6,4200,,MOUNT CASTLE,AVE,,,,10852R,R,112,9,4200,"4200 MOUNT CASTLE AVE San Diego, California"
25524,E23010027356,2023-01-20 06:42:15,6,5600,,LA JOLLA,BLV,,,,459A,K,124,3,5600,"5600 LA JOLLA BLV San Diego, California"
25525,E23010027357,2023-01-20 06:42:53,6,5400,,CAMINITO BAYO,,,,,911,CAN,124,1,5400,"5400 CAMINITO BAYO San Diego, California"
25526,E23010027358,2023-01-20 06:44:42,6,1300,,FRANKFORT,ST,,,,SLEEPER,CAN,116,3,1300,"1300 FRANKFORT ST San Diego, California"
25527,E23010027359,2023-01-20 06:45:22,6,100,,ELM,ST,,,,FU,K,529,2,100,"100 ELM ST San Diego, California"
25528,E23010027360,2023-01-20 06:47:09,6,3800,,ROSECRANS,ST,,,,911,DUP,611,1,3800,"3800 ROSECRANS ST San Diego, California"
25529,E23010027361,2023-01-20 06:48:01,6,4400,,30TH,ST,,,,602,K,813,2,4400,"4400 30TH ST San Diego, California"
25530,E23010027362,2023-01-20 06:48:29,6,1200,,IMPERIAL,AVE,,,,911P,CAN,541,2,1200,"1200 IMPERIAL AVE San Diego, California"
25531,E23010027363,2023-01-20 06:50:02,6,1300,S,43RD,ST,,,,CW,CAN,442,1,1300,"1300 S 43RD ST San Diego, California"
25532,E23010027364,2023-01-20 06:50:10,6,600,E,SAN YSIDRO,BLV,,,,1140OD,K,712,0,600,"600 E SAN YSIDRO BLV San Diego, California"
25533,E23010027365,2023-01-20 06:51:14,6,900,,WEST MISSION BAY,DR,,,,AU2,W,121,2,900,"900 WEST MISSION BAY DR San Diego, California"
25534,E23010027366,2023-01-20 06:52:24,6,4400,,50TH,ST,,,,586,O,824,2,4400,"4400 50TH ST San Diego, California"
25535,E23010027367,2023-01-20 06:57:34,6,2200,,UNIVERSITY,AVE,,,,602,K,813,2,2200,"2200 UNIVERSITY AVE San Diego, California"
25536,E23010027368,2023-01-20 06:58:52,6,14800,,WAVERLY DOWNS,WAY,,,,1186,K,232,3,14800,"14800 WAVERLY DOWNS WAY San Diego, California"
25537,E23010027369,2023-01-20 06:59:32,6,1100,,UNION,ST,,,,COURT,K,524,4,1100,"1100 UNION ST San Diego, California"
